"Guid","SBQQ__LookupField__c","SBQQ__MatchType__c","SBQQ__Operator__c","SBQQ__PriceRule2__c","SBQQ__ProductRule__c","SBQQ__TestedConfigurationAttribute__c","SBQQ__TestedField__c","SBQQ__TestedObject__c","SBQQ__TestedValue__c"
df8b232f-6cf6-4d83-bc04-c99553a7622f,Product__c,Field Value,equals,fc51d972-cc12-41db-9a0d-329841f6a972,"#N/A","#N/A",SBQQ__Product__c,Quote Line,"#N/A"
e025a5d1-35e5-4ec6-94f0-6a79b6014121,Lower_Bound_Percent__c,Field Value,greater or equals,cdec61d1-7252-499e-841a-fa5a43a6f1bf,"#N/A","#N/A",Discretionary_Discount_Decimal__c,Quote Line,"#N/A"
e12fcbbf-db54-4dfc-82a9-91c85d4c4126,Product__c,Field Value,equals,a04f043f-3e80-43be-8687-cd522c463d55,"#N/A","#N/A",SBQQ__Product__c,Quote Line,"#N/A"
e38cddf9-d663-4590-af70-2c6cf326a839,Product__c,Field Value,equals,49fc8d80-9cd7-4baf-a284-791694d61e10,"#N/A","#N/A",SBQQ__Product__c,Quote Line,"#N/A"
e3de6965-8a07-4382-a9ac-4787857a7990,Engineering_Options__c,Field Value,equals,69341a66-7f26-443e-8579-a9a9e87e764e,"#N/A","#N/A",Engineering_Options__c,Quote Line,"#N/A"
e3ec3a85-3702-48a6-99a2-504c10bfaa1e,Upper_Bound_Percent__c,Field Value,less than,6a25804c-72ee-47d5-b000-a9f1bc87e0ab,"#N/A","#N/A",Discretionary_Discount_Decimal__c,Quote Line,"#N/A"
e57875d6-6aa5-4aea-92c9-4aee03c28e80,Approval_Level__c,Static Value,equals,5ae0143a-97dd-4fd3-98e3-95a7b2f41beb,"#N/A","#N/A","#N/A","#N/A",2
e71212fe-6456-47b7-b127-3c1ad1190005,Upper_Bound_Percent__c,Field Value,less than,a45bed69-af5f-4668-be53-bbf1791d0388,"#N/A","#N/A",Discretionary_Discount_Decimal__c,Quote Line,"#N/A"
e802836f-7fa1-4c76-ba46-90496d10156d,Product__c,Field Value,equals,ae5b8c28-ff93-40c9-af24-d60f63fba585,"#N/A","#N/A",SBQQ__Product__c,Quote Line,"#N/A"
ec7636b0-a402-43e3-b401-d4706bf1b300,Product__c,Field Value,equals,4a1460f8-db61-46f5-94c5-d71006f61c2a,"#N/A","#N/A",SBQQ__Product__c,Quote Line,"#N/A"
ee96502f-c96a-415c-8d69-b4cae86fd74d,Upper_Bound_Percent__c,Field Value,less than,49fc8d80-9cd7-4baf-a284-791694d61e10,"#N/A","#N/A",Discretionary_Discount_Decimal__c,Quote Line,"#N/A"
ef930dad-9725-446f-b61b-489e10102fee,Approval_Level__c,Static Value,equals,9fcd0d34-2f1c-477a-8af9-167a7616e84a,"#N/A","#N/A","#N/A","#N/A",1
f2090222-78c0-43fe-973e-e6c034738709,Product__c,Field Value,equals,f6970ff7-2240-422e-8c33-43ed6163835e,"#N/A","#N/A",SBQQ__Product__c,Quote Line,"#N/A"
f2be6ae1-8bd2-43cf-9ac4-5dd1261d53c0,Threshold_Type__c,Static Value,equals,e4bab9ba-ebde-4cb4-bd3b-cb79a0a6f0b1,"#N/A","#N/A","#N/A","#N/A",Discount
f2e594d8-1ab4-4a36-b2ea-ea70b223bb4f,Product__c,Field Value,equals,a45bed69-af5f-4668-be53-bbf1791d0388,"#N/A","#N/A",SBQQ__Product__c,Quote Line,"#N/A"
f66af41b-bc1e-43d7-9ac8-64a204c420d7,Lower_Bound_Percent__c,Field Value,greater or equals,43e9f902-270f-41cb-8801-f6d540d4c00f,"#N/A","#N/A",Discretionary_Discount_Decimal__c,Quote Line,"#N/A"
f8ba9dcd-9701-4ba3-9be4-b08e3f0cc827,Engineering_Options__c,Field Value,equals,6f15be1e-4614-4acf-973b-69d5232d1cff,"#N/A","#N/A",Engineering_Options__c,Quote Line,"#N/A"
ff247c63-0007-4533-92d1-b80ef9452a5a,Approval_Level__c,Static Value,equals,0e402152-d4fc-4e13-af2e-70248ca95295,"#N/A","#N/A","#N/A","#N/A",3
