"Guid","SBQQ__Field__c","SBQQ__Formula__c","SBQQ__Order__c","SBQQ__Rule__c","SBQQ__SourceLookupField__c","SBQQ__SourceVariable__c","SBQQ__TargetObject__c","SBQQ__ValueField__c","SBQQ__Value__c"
ab80d0df-4152-411e-bc0b-272f7840ea94,SBQQ__Quantity__c,Protected_Devices__c,1.0,ac366827-b676-4341-a0a6-dfaeed6b52c6,"#N/A","#N/A",Quote Line,"#N/A","#N/A"
abc63c1d-6f89-44b9-8e87-edf7746f332f,Billing_Approval_Level__c,"IF((TEXT(SBQQ__BillingFrequency__c)  <>  TEXT(SBQQ__Product__r.SBQQ__BillingFrequency__c)) ||
(TEXT(SBQQ__BillingType__c) <> TEXT(SBQQ__Product__r.SBQQ__BillingType__c)), 1, 0)",1.0,762e9a11-6bb2-4d7c-9fce-4a4de8b25b3a,"#N/A","#N/A",Quote Line,"#N/A","#N/A"
add0b818-2d3a-4ce9-8c44-eddd889e54fa,Discretionary_Discount_Decimal__c,"if( SBQQ__RegularPrice__c =0, 0, ( SBQQ__NetPrice__c -SBQQ__RegularPrice__c)/(-1.0 * SBQQ__RegularPrice__c))",2.0,cdec61d1-7252-499e-841a-fa5a43a6f1bf,"#N/A","#N/A",Quote Line,"#N/A","#N/A"
c7260cc8-2b22-40b7-865c-b946c4c6860a,Discretionary_Discount_Percent__c,"100.0 * if( SBQQ__RegularPrice__c =0, 0, ( SBQQ__NetPrice__c -SBQQ__RegularPrice__c)/(-1.0 * SBQQ__RegularPrice__c))","#N/A",74fc8bc2-e26f-4018-acd0-dfd23e280606,"#N/A","#N/A",Quote Line,"#N/A","#N/A"
d0457e29-6403-4256-af6c-e61485cbf58c,Discount (Amt),"#N/A","#N/A",cf356d30-18e6-4ac2-8ddb-7d6aff7ea179,"#N/A","#N/A",Quote Line,"#N/A",10
e05b12c8-8a9c-420b-be90-e3ea789318e3,Discretionary_Discount_Percent__c,"100.0 * if( SBQQ__RegularPrice__c =0, 0, ( SBQQ__NetPrice__c -SBQQ__RegularPrice__c)/(-1.0 * SBQQ__RegularPrice__c))",1.0,003c3af8-e1bf-4f6f-8ba8-bd7d52e71589,"#N/A","#N/A",Quote Line,"#N/A","#N/A"
e9c99afb-d746-4b69-a8dc-1f72c87ec809,SBQQ__TaxCode__c,"IF( SBQQ__Quote__r.Calculate_Tax__c = True && SBQQ__Quote__r.SBQQ__BillingCountry__c = ""United States"", ""A234"", 
IF( SBQQ__Quote__r.Calculate_Tax__c = True && SBQQ__Quote__r.SBQQ__BillingCountry__c = ""United Kingdom"", ""B567"", 
""A000""))","#N/A",7ca89aa1-4298-4291-899b-10076c6f5cd5,"#N/A","#N/A",Quote Line,"#N/A","#N/A"
ebc9b9ed-8cf4-4ec8-880c-4c04f46f6fb7,Discretionary_Discount_Percent__c,"100.0 * if( SBQQ__RegularPrice__c =0, 0, ( SBQQ__NetPrice__c -SBQQ__RegularPrice__c)/(-1.0 * SBQQ__RegularPrice__c))","#N/A",0e7c6200-df6e-455e-8f09-04accc693c21,"#N/A","#N/A",Quote Line,"#N/A","#N/A"
ed4b756f-bab5-4e3e-9814-adc62ec6e2fd,SBQQ__Quantity__c,SBQQ__ProductOption__r.Protected_Devices__c,1.0,853097ca-2b2c-41e9-9f3e-01246ae24b84,"#N/A","#N/A",Product Option,"#N/A","#N/A"
f154e5b7-6c64-4f2c-99ee-89efd178e23f,Discretionary_Discount_Percent__c,"100.0 * if( SBQQ__RegularPrice__c =0, 0, ( SBQQ__NetPrice__c -SBQQ__RegularPrice__c)/(-1.0 * SBQQ__RegularPrice__c))",1.0,e4bab9ba-ebde-4cb4-bd3b-cb79a0a6f0b1,"#N/A","#N/A",Quote Line,"#N/A","#N/A"
f537b621-7467-425a-9768-136c48d3c268,Discount (%),"#N/A","#N/A",0cf54b51-d3df-4226-b6ed-7a52eca397f6,"#N/A","#N/A",Quote Line,"#N/A",45
f5ae5a08-96a3-45cc-8793-8e1d133bddaa,Discretionary_Discount_Decimal__c,"if( SBQQ__RegularPrice__c =0, 0, ( SBQQ__NetPrice__c -SBQQ__RegularPrice__c)/(-1.0 * SBQQ__RegularPrice__c))",2.0,e4bab9ba-ebde-4cb4-bd3b-cb79a0a6f0b1,"#N/A","#N/A",Quote Line,"#N/A","#N/A"
fd2ded90-b19e-432f-8fba-2ca24e68155b,Discretionary_Discount_Decimal__c,"if( SBQQ__RegularPrice__c =0, 0, ( SBQQ__NetPrice__c -SBQQ__RegularPrice__c)/(-1.0 * SBQQ__RegularPrice__c))",2.0,003c3af8-e1bf-4f6f-8ba8-bd7d52e71589,"#N/A","#N/A",Quote Line,"#N/A","#N/A"
fff1fdf2-a40a-41fe-bb97-9d4911040db9,SBQQ__Quantity__c,SBQQ__ProductOption__r.Protected_Devices__c,1.0,a4458402-762e-4396-95b6-c2cdda6e4d67,"#N/A","#N/A",Product Option,"#N/A","#N/A"
